source_data_name,problem_type,difficulty,achievement_standard_code,achievement_standard_text,chapter_major,chapter_middle,chapter_minor,problem_subtype,question_text,question_with_options,question_image_bbox,answer,explanation,option_type,extraction_status,recovered_answer,answer_match,image_regions
S3_중등_2_001374,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,다음 보기 중 유한소수로 나타낼 수 없는 분수를 찾으시오.,보기 상자에 다음과 같은 내용이 들어 있다. ㄱ. $\frac{15}{8}$ ㄴ. $\frac{27}{120}$ ㄷ. $\frac{14}{5^{2} \times 7}$ ㄹ. $\frac{18}{2 \times 3^{3} \times 5}$,"[[65.72, 82.62, 789.92, 184.42]]",ㄹ,"분수를 기약분수로 나타낸 후 분모를 소인수분해하였을 때, 소인수 중 $2$나 $5$이외의 수가 있으면 유한소수로 나타낼 수 없다. ㄱ. $\frac{15}{8}=\frac{15}{2^{3}}$, 유한소수 $\quad$ ㄴ․ $\frac{9}{40}=\frac{9}{2^{3} \times 5}$, 유한소수 $\quad$ ㄷ. $\frac{14}{5^{2} \times 7}=\frac{2}{5^{2}}$, 유한소수 $\quad$ ㄹ. $\frac{18}{2 \times 3^{3} \times 5}=\frac{1}{3 \times 5}$, 무한소수",,,,,
S3_중등_2_001376,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,"순환소수 $3. \dot{1} \dot{7}$을 분수로 나타내려고 한다. $x=3. \dot{1} \dot{7}$이라고 할 때, 다음 중 필요한 식은?","순환소수 $3. \dot{1} \dot{7}$을 분수로 나타내려고 한다. $x=3. \dot{1} \dot{7}$이라고 할 때, 다음 중 필요한 식은? ① $10 x-x$ ② $100 x-x$ ③ $100 x-10 x$ ④ $1000 x-x$ $100 x-x$","[[62.0, 19.92, 576.5, 216.0]]",$100 x-x$,$x=3. 171717 \cdots$ 이므로 $100 x=317. 1717 \cdots$ $100 x-x$를 하면 소수점 아래의 순환하는 부분이 없어진다.,mixed_with_image,recovered,$100 x-x$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [350.0, 118.0, 448.0, 138.0]}]"
S3_중등_2_001377,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,$x=0. 4 \dot{7}\dot{1}$을 분수로 나타내려고 한다. 다음 중 필요한 식은?,$x=0. 4 \dot{7}\dot{1}$을 분수로 나타내려고 한다. 다음 중 필요한 식은? ① $10 x-x$ ② $100 x-x$ ③ $100 x-10 x$ ④ $1000 x-x$ $1000 x-10 x$,"[[55.0, 6.24, 574.51, 209.0]]",$1000 x-10 x$,"소수점이 4 뒤로, 471 뒤로 가도록 $x$에 각각 10, 1000을 곱하면 $10 x=4. 7171 \cdots, 1000 x=471. 7171 \cdots$ 이다. 따라서 $1000 x-10 x$이다.",mixed_with_image,recovered,$1000 x-10 x$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [95.0, 181.0, 239.0, 209.0]}]"
S3_중등_2_001378,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,다음 분수 중 순환소수로 나타낼 수 있는 것은?,다음 분수 중 순환소수로 나타낼 수 있는 것은? ① $\frac{3}{40}$ ② $\frac{13}{32}$ ③ $\frac{9}{140}$ ④ $\frac{21}{2 \times 5^{2} \times 7}$ ⑤ $\frac{33}{5^{2} \times 11}$,"[[62.44, 36.09, 593.92, 184.57]]",③ $\frac{9}{140}$,"기약분수로 나타낸 후 분모를 소인수분해하였을 때, 분모에 2나 5이외의 소인수가 있으면 순환소수로 나타낼 수 있다. | ① $\frac{3}{40}=\frac{3}{2^{3} \times 5}$ ② $\frac{13}{32}=\frac{13}{2^{5}}$ ③ $\frac{9}{140}=\frac{9}{2^{2} \times 5 \times 7}$ ④ $\frac{3}{2 \times 5^{2}}$ ⑤ $\frac{3}{5^{2}}$",text,recovered,③ $\frac{9}{140}$,True,
S3_중등_2_001379,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 식 세우기,"순환소수 $0. 0\dot{6}\dot{3}$을 $x$라고 할 때, 다음 중 그 계산 결과가 정수가 되는 것은?","순환소수 $0. 0\dot{6}\dot{3}$을 $x$라고 할 때, 다음 중 그 계산 결과가 정수가 되는 것은? ① $100 x-x$ ② $100 x-10 x$ ③ $1000 x-x$ ④ $1000 x - 10 x$ ⑤ $1000 x-100 x$","[[58.88, 25.86, 659.46, 131.69]]",④ $1000 x - 10 x$,"\[ x=0, 06363 \cdots \quad \cdots\cdots㉠ \] ㉠의 양변에 10을 곱하면 $10 x=0. 6363 \cdots \quad \cdots\cdots㉡\\$ $\qquad$ ㉠의 양변에 1000을 곱하면 $1000 x=63. 6363 \cdots \quad \cdots\cdots㉢\\$ $\qquad$ ㉢ - ㉡을 하면 $1000 x-10 x=63$",mixed_with_image,recovered,④ $1000 x - 10 x$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [58.88, 107.93, 202.24, 131.69]}]"
S3_중등_2_001382,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수 판별 - 분모의 소인수 조건,다음 중 유한소수로 나타낼 수 있는 것은?,다음 중 유한소수로 나타낼 수 있는 것은? ① $\frac{3}{15}$ ② $\frac{4}{35}$ ③ $\frac{8}{2^{2} \times 7}$ ④ $\frac{2^{3} \times 3}{2^{2} \times 3^{3}}$ ⑤ $\frac{3}{44}$,"[[63.6, 22.42, 456.56, 175.18]]",① $\frac{3}{15}$,① $\frac{3}{15}=\frac{1}{5}$ ② $\frac{4}{35}=\frac{4}{5 \times 7}$ ③ $\frac{8}{2^{2} \times 7}=\frac{2}{7}$ ④ $\frac{2^{3} \times 3}{2^{2} \times 3^{3}}=\frac{2}{3^{2}}$ ⑤ $\frac{3}{44}=\frac{3}{2^{2} \times 11}$,text,recovered,① $\frac{3}{15}$,True,
S3_중등_2_001383,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유한소수가 되기 위한 미지수 조건,분수 $\frac{21}{2 \times 5^{2} \times x}$을 소수로 나타내면 유한소수가 된다고 한다. 다음 중 $x$의 값이 될 수 없는 것은?,분수 $\frac{21}{2 \times 5^{2} \times x}$을 소수로 나타내면 유한소수가 된다고 한다. 다음 중 $x$의 값이 될 수 없는 것은? ① $6$ ② $14$ ③ $18$ ④ $35$ ⑤ $42$,"[[69.5, 17.14, 535.5, 181.83]]",③ $18$,주어진 분수가 유한소수가 되기 위해서는 기약분수로 고쳤을 때 분모의 소인수가 $2$나 $5$뿐이어야 하므로 | 따라서 $x$의 값이 될 수 없는 것은 ③이다. | ① $\frac{21}{2 \times 5^{2} \times 6}=\frac{7}{2^{2} \times 5^{2}}$ ② $\frac{21}{2 \times 5^{2} \times 14}=\frac{3}{2^{2} \times 5^{2}}$ ③ $\frac{21}{2 \times 5^{2} \times 18}=\frac{7}{2^{2} \times 3 \times 5^{2}}$ ④ $\frac{21}{2 \times 5^{2} \times 35}=\frac{3}{2 \times 5^{3}}$ ⑤ $\frac{21}{2 \times 5^{2} \times 42}=\frac{1}{2^{2} \times 5^{2}}$,text,recovered,③ $18$,True,
S3_중등_2_001385,객관식,중,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 계산 판별,다음 보기 중 옳은 것을 모두 고르시오.,다음 보기 중 옳은 것을 모두 고르시오. $1. \dot{2}=\frac{11}{90} $ ㄴ. $0. \dot{6}$의 역수는 1. 5 이다. ㄷ. $\frac{1}{14}$을 소수로 나타내면 유한소수이다.,"[[54.0, 25.92, 385.0, 202.0]]",ㄴ. $0. \dot{6}$의 역수는 1. 5 이다.,ㄱ. $1. \dot{2}=\frac{12-1}{9}=\frac{11}{9}$ ㄴ. $0. 6=\frac{6}{9}=\frac{2}{3}$ 이므로 역수는 $\frac{3}{2}=1. 5$ 이다. ㄷ. $\frac{1}{14}=\frac{1}{2 \times 7}$은 순환소수이다.,mixed_with_image,recovered,ㄴ. $0. \dot{6}$의 역수는 1. 5 이다.,True,"[{""class_name"": ""오답(이미지)"", ""bbox"": [97.0, 80.0, 175.0, 122.0]}]"
S3_중등_2_001386,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,1. 유리수의 소수 표현,유리수와 소수 표현의 관계,지은이는 '함께 공부하는 수학'이라는 모임을 만들어 매주 토요일마다 친구들과 함께 수학 공부를 한다. 다음은이 모임에 참여한 학생들의 대화 내용이다. 틀린 말을 한 학생을 고르시오.,"초록테두리의 상자에 다음과 같은 대화가 들어 있다.
지은: 오늘은 지난주에 공부한 '유리수와 순환소수'에 대해 한 가지씩 말해 보도록 하자. 민지: 음, 내가 먼저 말할게. 모든 순환소수는 유리수야. 영호: 무한소수의 합은 항상 무한소수야. 태오: 유한소수의 합은 항상 유한소수야.","[[49.21, 168.45, 443.96, 358.4]]",영호,$0 \dot{3}+0. \dot{6}=\frac{1}{3}+\frac{2}{3}=1$ 위의 예에서도 알 수 있듯이 두 무한소수의 합이 항상 무한소수가 되는 것은 아니다. 따라서 들린 말을 한 학생은 영호이다.,,,,,
S3_중등_2_001387,객관식,하,9수01-06,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1. 수와 식,1. 유리수와 순환소수,2. 순환소수의 분수 표현,순환소수를 분수로 변환 - 계산 판별,다음 중 순환소수를 분수로 나타낸 것으로 옳지 않은 것은?,다음 중 순환소수를 분수로 나타낸 것으로 옳지 않은 것은? ① $0. \dot{2} \dot{6}=\frac{26}{99}$ ② $0. 4 \dot{3}=\frac{13}{30}$ ④ $3. \dot{4} \dot{1}=\frac{338}{99}$ ⑤ $0. \dot{5} 1 \dot{7}=\frac{517}{999}$ $2. 2 \dot{1} \dot{0}=\frac{1099}{990}$,"[[71, 13.92, 645, 304.0]]",$2. 2 \dot{1} \dot{0}=\frac{1099}{990}$,② $0. 4 \dot{3}=\frac{43-4}{90}=\frac{39}{90}=\frac{13}{30}$ ③ $2. 2\dot{1} \dot{0}=\frac{2210-22}{990}=\frac{2188}{990}=\frac{1094}{495}$ ④ $3. \dot{4}\dot{1} =\frac{341-3}{99}=\frac{338}{99}$,mixed_with_image,recovered,$2. 2 \dot{1} \dot{0}=\frac{1099}{990}$,True,"[{""class_name"": ""정답(이미지)"", ""bbox"": [104.0, 183.0, 266.0, 239.0]}]"
